scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;technology;CCS;technology_code;grid
CO2B;AK;PV_base_storage;0;0;0;0;0;0;1.34E-06;3.61E-06;7.41E-06;2.03E-05;4.08E-05;EJ;solar;no CCS;h solar;Alaska
CO2B;AK;PV_int;0;0;0;0;0;0;1.67E-04;0.001394924;0.002513104;0.004743084;0.007338734;EJ;solar;no CCS;h solar;Alaska
CO2B;AK;PV_peak;0;0;0;0;0;0;1.20E-05;4.31E-05;8.14E-05;1.64E-04;2.63E-04;EJ;solar;no CCS;h solar;Alaska
CO2B;AK;PV_subpeak;0;0;0;0;0;0;6.29E-05;2.70E-04;5.12E-04;0.001038604;0.001701514;EJ;solar;no CCS;h solar;Alaska
CO2B;AK;biomass_base_IGCC;0;0;0;0;0;0;7.12E-06;1.11E-05;8.86E-06;9.82E-06;9.44E-06;EJ;biomass;no CCS;d biomass;Alaska
CO2B;AK;biomass_base_IGCC_CCS;0;0;0;0;0;0;3.54E-06;1.52E-05;4.57E-05;1.96E-04;5.51E-04;EJ;biomass;w/ CCS;d biomass;Alaska
CO2B;AK;biomass_base_conv;0;0;0;0;0;0;1.12E-05;1.20E-05;7.84E-06;7.16E-06;6.34E-06;EJ;biomass;no CCS;d biomass;Alaska
CO2B;AK;biomass_base_conv_CCS;0;0;0;0;0;0;3.97E-06;1.87E-05;5.63E-05;2.29E-04;6.39E-04;EJ;biomass;w/ CCS;d biomass;Alaska
CO2B;AK;biomass_int_IGCC;0;0;0;0;0;0;4.71E-07;8.41E-06;1.99E-05;2.67E-05;2.59E-05;EJ;biomass;no CCS;d biomass;Alaska
CO2B;AK;biomass_int_IGCC_CCS;0;0;0;0;0;0;2.03E-07;5.84E-06;2.08E-05;8.58E-05;2.25E-04;EJ;biomass;w/ CCS;d biomass;Alaska
CO2B;AK;biomass_int_conv;0;0;0;0;0;0;1.09E-06;1.59E-05;2.98E-05;2.49E-05;2.15E-05;EJ;biomass;no CCS;d biomass;Alaska
CO2B;AK;biomass_int_conv_CCS;0;0;0;0;0;0;2.97E-07;8.99E-06;3.16E-05;1.25E-04;3.22E-04;EJ;biomass;w/ CCS;d biomass;Alaska
CO2B;AK;coal_base_IGCC_CCS;0;0;0;0;0;0;2.45E-05;4.25E-05;7.37E-05;1.99E-04;3.13E-04;EJ;coal;w/ CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul;0.001518069;0.001692985;0.001809725;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul 1951-1955;0;0;0;5.36E-04;1.75E-04;2.52E-04;1.16E-05;0;0;0;0;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul 1966-1970;0;0;0;0.001027344;3.45E-04;5.40E-04;3.38E-05;5.43E-06;1.01E-06;4.58E-08;0;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul 1971-1975;0;0;0;7.37E-04;2.47E-04;3.88E-04;2.47E-05;4.20E-06;9.73E-07;7.58E-08;1.38E-08;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul 1981-1985;0;0;0;2.17E-04;7.29E-05;1.15E-04;7.29E-06;1.25E-06;2.98E-07;2.60E-08;6.66E-09;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul 1986-1990;0;0;0;4.04E-04;1.36E-04;2.13E-04;1.36E-05;2.33E-06;5.59E-07;5.04E-08;1.46E-08;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul 1996-2000;0;0;0;4.15E-04;1.39E-04;2.19E-04;1.39E-05;2.39E-06;5.76E-07;5.22E-08;1.55E-08;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul_CCS;0;0;0;0;0;0;2.25E-05;3.72E-05;6.13E-05;1.62E-04;2.43E-04;EJ;coal;w/ CCS;c coal;Alaska
CO2B;AK;coal_base_conv pul_retire_2020;9.83E-05;1.10E-04;1.17E-04;2.16E-04;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_int_IGCC_CCS;0;0;0;0;0;0;2.60E-06;5.01E-05;1.45E-04;4.17E-04;7.94E-04;EJ;coal;w/ CCS;c coal;Alaska
CO2B;AK;coal_int_conv pul;7.99E-05;4.23E-04;2.67E-04;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_int_conv pul 1951-1955;0;0;0;7.91E-05;4.37E-05;4.50E-05;3.82E-05;0;0;0;0;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_int_conv pul 1966-1970;0;0;0;1.52E-04;8.59E-05;9.64E-05;1.11E-04;6.55E-05;2.43E-05;1.45E-06;0;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_int_conv pul 1971-1975;0;0;0;1.09E-04;6.17E-05;6.94E-05;8.12E-05;5.07E-05;2.33E-05;2.39E-06;3.53E-07;EJ;coal;no CCS;c coal;Alaska
CO2B;AK;coal_int_conv pul 1981-1985;0;0;0;3.20E-05;1.82E-05;2.05E-05;2.40E-05;1.51E-05;7.14E-06;8.21E-07;1.70E-07;EJ;coal;no CCS;c coal;Alaska
