scenario;region;sector;input;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;end-use sector
CO2B;AK;comm cooking;electricity;6.56E-05;9.75E-05;1.80E-04;5.21E-05;5.78E-05;6.76E-05;8.97E-05;1.15E-04;1.37E-04;1.67E-04;2.02E-04;EJ;buildings
CO2B;AK;comm cooking;gas;7.75E-04;0.00102418;0.001465283;7.56E-04;7.26E-04;7.17E-04;6.85E-04;6.49E-04;6.18E-04;5.35E-04;4.89E-04;EJ;buildings
CO2B;AK;comm cooling;electricity;6.18E-05;1.54E-04;1.50E-04;1.22E-04;1.20E-04;1.16E-04;1.15E-04;1.12E-04;1.10E-04;1.06E-04;1.07E-04;EJ;buildings
CO2B;AK;comm cooling;gas;1.30E-06;1.25E-05;7.10E-06;7.60E-06;7.15E-06;6.76E-06;6.33E-06;5.97E-06;5.74E-06;5.08E-06;4.84E-06;EJ;buildings
CO2B;AK;comm heating;biomass;1.39E-04;1.73E-04;2.83E-04;0.00117119;0.00116196;0.001269676;0.001600749;0.001605393;0.001346026;8.28E-04;5.34E-04;EJ;buildings
CO2B;AK;comm heating;coal;0.0162671;0.00613441;0.00774521;0.00768247;0.00593;0.00497691;0.00384123;0.00270556;0.00175247;0;0;EJ;buildings
CO2B;AK;comm heating;electricity;8.84E-04;0.0011951;6.97E-04;9.22E-04;0.001116351;0.001277546;0.001633536;0.002153009;0.002815765;0.004342346;0.005126399;EJ;buildings
CO2B;AK;comm heating;gas;0.0160584;0.012503;0.0112962;0.0110744;0.01057634;0.010657058;0.010484389;0.010130257;0.009535946;0.007279615;0.006102933;EJ;buildings
CO2B;AK;comm heating;refined liquids;0.00524869;0.00512821;0.00816801;0.00239539;0.002280933;0.002269806;0.002140418;0.001900009;0.001511901;7.95E-04;5.49E-04;EJ;buildings
CO2B;AK;comm hot water;electricity;5.13E-04;1.77E-04;8.62E-05;2.09E-04;2.40E-04;2.68E-04;3.28E-04;3.83E-04;4.37E-04;5.55E-04;6.65E-04;EJ;buildings
CO2B;AK;comm hot water;gas;0.00208996;0.0019468;0.00190812;0.00175792;0.00169422;0.001683511;0.001658045;0.001642213;0.001628193;0.001412837;0.001269918;EJ;buildings
CO2B;AK;comm hot water;refined liquids;1.81E-04;5.19E-04;5.22E-04;4.96E-04;4.63E-04;4.41E-04;3.99E-04;3.37E-04;2.51E-04;1.32E-04;8.90E-05;EJ;buildings
CO2B;AK;comm lighting;electricity;0.0033042;0.0028949;0.001910201;0.002072801;0.001908248;0.001725065;0.001507328;0.001203895;0.001204372;0.001212629;0.001232386;EJ;buildings
CO2B;AK;comm non-building;electricity;8.27E-04;0.0010368;0.0014615;0.0018558;0.00184246;0.00186933;0.00195802;0.00205159;0.00214327;0.00222306;0.00230254;EJ;buildings
CO2B;AK;comm office;electricity;6.19E-04;0.0010142;0.0014345;8.84E-04;7.95E-04;8.10E-04;8.56E-04;9.06E-04;9.55E-04;9.99E-04;0.00104201;EJ;buildings
CO2B;AK;comm other;electricity;4.84E-04;0.0013253;0.0016607;0.0019423;0.00245962;0.00251615;0.00307935;0.00370563;0.00444401;0.00558785;0.00655524;EJ;buildings
CO2B;AK;comm other;gas;5.12E-04;5.50E-04;4.61E-04;0.0037476;0.00351681;0.00370072;0.00409272;0.00476308;0.00538339;0.00508492;0.00468051;EJ;buildings
CO2B;AK;comm other;refined liquids;4.05E-04;4.66E-04;0.002287;0.0038077;0.0033607;0.00326903;0.00276088;0.00195905;0.0010838;6.29E-04;4.60E-04;EJ;buildings
CO2B;AK;comm refrigeration;electricity;3.72E-04;0.001125;0.00159112;0.00100061;9.38E-04;9.12E-04;9.13E-04;9.07E-04;9.50E-04;9.87E-04;0.001022218;EJ;buildings
CO2B;AK;comm ventilation;electricity;5.47E-04;0.001165878;0.001433756;0.001249289;0.00123485;0.001253466;0.001296934;0.00133971;0.001364914;0.001372234;0.001318528;EJ;buildings
CO2B;AK;other industrial energy use;biomass;0.0063943;5.18E-05;9.49E-05;1.47E-04;1.46E-04;1.48E-04;1.56E-04;1.63E-04;1.63E-04;1.26E-04;7.27E-05;EJ;industry
CO2B;AK;other industrial energy use;coal;0;1.98E-05;4.73E-05;1.34E-05;1.34E-05;1.36E-05;1.33E-05;1.21E-05;9.39E-06;4.14E-06;1.77E-06;EJ;industry
CO2B;AK;other industrial energy use;electricity;0;0.001153;0.001855;0.0032096;0.00100642;8.78E-04;0.001552554;0.001748676;0.00207966;0.003969938;0.009590984;EJ;industry
CO2B;AK;other industrial energy use;gas;0.2011929;0.2961336;0.2087604;0.2208806;0.2182361;0.220643312;0.222875233;0.226142304;0.228097514;0.215935186;0.198060233;EJ;industry
CO2B;AK;other industrial energy use;hydrogen;0;0;0;0;0;6.34E-06;5.10E-05;1.37E-04;4.50E-04;0.002532713;0.021500891;EJ;industry
CO2B;AK;other industrial energy use;refined liquids;0.0020014;0.0050382;0.00649041;0.0076162;0.005574015;0.005611129;0.005549698;0.00667958;0.006951211;0.006423583;0.006396121;EJ;industry
CO2B;AK;other industrial feedstocks;refined liquids;0.00345271;0.0027463;0.0359166;0.0416755;0.0403181;0.0407554;0.041381;0.0423618;0.0429991;0.0415748;0.042161;EJ;industry
CO2B;AK;resid clothes dryers;electricity;1.76E-04;3.80E-04;2.56E-04;2.07E-04;2.02E-04;2.00E-04;2.06E-04;2.10E-04;2.21E-04;2.33E-04;2.48E-04;EJ;buildings
CO2B;AK;resid clothes dryers;gas;5.65E-05;1.20E-04;5.67E-05;4.69E-05;4.38E-05;4.20E-05;4.03E-05;3.72E-05;3.75E-05;3.48E-05;3.02E-05;EJ;buildings
CO2B;AK;resid clothes washers;electricity;0;5.26E-05;4.10E-05;3.05E-05;2.53E-05;2.18E-05;1.89E-05;1.54E-05;1.65E-05;1.76E-05;1.88E-05;EJ;buildings
