scenario;region;sector;subsector;output;technology;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;basin;region_id;subRegion;basin_name
CO2B;USA;Corn;CornC4_ArkWhtRedR;Corn;CornC4_ArkWhtRedR_IRR_hi;3.49954;5.28352;5.65996;6.4505;7.03012;7.14833;7.22034;9.38469;10.7279;12.621;13.6748;Mt;ArkWhtRedR;224;Arkansas_White_Red;Arkansas White Red
CO2B;USA;Corn;CornC4_ArkWhtRedR;Corn;CornC4_ArkWhtRedR_IRR_lo;2.33303;3.52235;3.77331;4.30033;4.52901;4.57081;4.57972;5.10863;5.33064;5.4891;5.63739;Mt;ArkWhtRedR;224;Arkansas_White_Red;Arkansas White Red
CO2B;USA;Corn;CornC4_ArkWhtRedR;Corn;CornC4_ArkWhtRedR_RFD_hi;1.45474;2.19633;2.35282;2.68144;3.00319;3.1422;3.26759;4.31766;5.01841;6.00972;6.63158;Mt;ArkWhtRedR;224;Arkansas_White_Red;Arkansas White Red
CO2B;USA;Corn;CornC4_ArkWhtRedR;Corn;CornC4_ArkWhtRedR_RFD_lo;0.969828;1.46422;1.56855;1.78763;1.91264;1.96041;1.99423;2.22967;2.33178;2.39785;2.4626;Mt;ArkWhtRedR;224;Arkansas_White_Red;Arkansas White Red
CO2B;USA;Corn;CornC4_California;Corn;CornC4_California_IRR_hi;0.502715;0.758987;0.813062;0.926625;0.962519;0.913276;0.853813;1.03586;1.08203;1.18148;1.04798;Mt;California;217;California_River;California River
CO2B;USA;Corn;CornC4_California;Corn;CornC4_California_IRR_lo;0.335143;0.505991;0.542042;0.61775;0.630442;0.608418;0.581271;0.630763;0.635026;0.649221;0.610878;Mt;California;217;California_River;California River
CO2B;USA;Corn;CornC4_California;Corn;CornC4_California_RFD_hi;0.0209296;0.031599;0.0338504;0.0385783;0.0421104;0.0425035;0.0426518;0.0548859;0.061777;0.0730314;0.0748024;Mt;California;217;California_River;California River
CO2B;USA;Corn;CornC4_California;Corn;CornC4_California_RFD_lo;0.0139531;0.021066;0.022567;0.0257189;0.0268192;0.0265168;0.0260098;0.0283135;0.0286747;0.0290993;0.0277307;Mt;California;217;California_River;California River
CO2B;USA;Corn;CornC4_Caribbean;Corn;CornC4_Caribbean_IRR_hi;0.0002916;0.0006062;0.000657;0.0006882;0.000726677;0.000669062;0.000661059;0.000740456;0.000810902;0.000965786;0.00100095;Mt;Caribbean;101;Caribbean;Caribbean
CO2B;USA;Corn;CornC4_Caribbean;Corn;CornC4_Caribbean_IRR_lo;0.0001944;0.0004042;0.000438;0.0004588;0.000471418;0.000432011;0.00041688;0.000400753;0.000401726;0.00041663;0.000404926;Mt;Caribbean;101;Caribbean;Caribbean
CO2B;USA;Corn;CornC4_FraserR;Corn;CornC4_FraserR_IRR_hi;0.0000221;0.0000335;0.0000359;0.0000408;4.30081E-05;4.19874E-05;3.86689E-05;4.62763E-05;4.89744E-05;5.12978E-05;5.51872E-05;Mt;FraserR;27;Fraser;Fraser
CO2B;USA;Corn;CornC4_FraserR;Corn;CornC4_FraserR_IRR_lo;0.0000148;0.0000223;0.0000239;0.0000272;2.76861E-05;2.67374E-05;2.41447E-05;0.000024682;0.000023742;2.15686E-05;2.17256E-05;Mt;FraserR;27;Fraser;Fraser
CO2B;USA;Corn;CornC4_FraserR;Corn;CornC4_FraserR_RFD_hi;0.0000165;0.0000249;0.0000267;0.0000304;3.28828E-05;3.29127E-05;3.10899E-05;3.77321E-05;4.04242E-05;4.29247E-05;4.66172E-05;Mt;FraserR;27;Fraser;Fraser
CO2B;USA;Corn;CornC4_FraserR;Corn;CornC4_FraserR_RFD_lo;0.000011;0.0000166;0.0000178;0.0000203;2.09861E-05;2.05656E-05;1.88496E-05;1.93391E-05;1.86656E-05;1.69863E-05;1.71224E-05;Mt;FraserR;27;Fraser;Fraser
CO2B;USA;Corn;CornC4_GreatBasin;Corn;CornC4_GreatBasin_IRR_hi;0.0260585;0.0393423;0.0421454;0.0480319;0.0522225;0.053039;0.0524228;0.067022;0.0747937;0.0838999;0.0924581;Mt;GreatBasin;222;Great;Great Basin
CO2B;USA;Corn;CornC4_GreatBasin;Corn;CornC4_GreatBasin_IRR_lo;0.0173723;0.0262282;0.0280969;0.0320213;0.033607;0.0337833;0.0329647;0.0360254;0.0365023;0.0355685;0.0367806;Mt;GreatBasin;222;Great;Great Basin
CO2B;USA;Corn;CornC4_GreatBasin;Corn;CornC4_GreatBasin_RFD_hi;0.0037517;0.0056643;0.0060678;0.0069153;0.00771552;0.00803413;0.00813776;0.0105471;0.011909;0.0135271;0.015052;Mt;GreatBasin;222;Great;Great Basin
