scenario;region;fuel;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;USA;oil;18.2174;13.5608;15.0209;23.8024;22.1835;20.5716;17.8759;15.42;12.7904;7.52896;1.92935;EJ
CO2B;USA;natural gas;17.3717;17.5483;20.9848;26.1913;26.1191;25.4174;24.9512;23.5745;22.5129;20.7089;19.9198;EJ
CO2B;USA;coal;19.5285;22.8838;20.9226;15.3266;12.6208;12.2341;7.15296;3.58443;3.25376;3.11529;3.36942;EJ
CO2B;USA;biomass;2.61712;2.88964;2.73357;2.78798;2.84291;3.34643;4.87118;15;21.0062;26.9992;33;EJ
CO2B;USA;coal;0;0;0;0.222073;0.435318;0.640348;0.478977;0.293965;0.32115;0.360313;0.446593;EJ
CO2B;USA;natural gas;0.834733;3.84424;2.33389;0.531904;1.87044;3.50951;3.60274;4.50113;4.82695;5.20649;5.86719;EJ
CO2B;USA;oil;15.8203;27.2966;20.8665;11.9125;13.9106;14.9517;14.4776;8.72443;5.04448;1.88592;0.386374;EJ
CO2B_W;USA;oil;18.2174;13.5608;15.0209;23.8024;22.1836;20.5714;17.8865;15.4469;12.811;7.76916;2.01401;EJ
CO2B_W;USA;natural gas;17.3717;17.5483;20.9848;26.1913;26.115;25.4072;24.9572;23.5733;22.5766;20.788;20.0319;EJ
CO2B_W;USA;coal;19.5285;22.8838;20.9226;15.3266;12.62;12.2277;7.13972;3.53597;3.24705;3.15459;3.38509;EJ
CO2B_W;USA;biomass;2.61712;2.88964;2.73357;2.78798;2.8418;3.33889;4.60691;15;21;26.9995;33;EJ
CO2B_W;USA;coal;0;0;0;0.222073;0.43536;0.640201;0.478406;0.290345;0.321333;0.36638;0.451988;EJ
CO2B_W;USA;natural gas;0.834733;3.84424;2.33389;0.531904;1.86978;3.50642;3.64759;4.53793;4.84778;5.23555;5.91278;EJ
CO2B_W;USA;oil;15.8203;27.2966;20.8665;11.9125;13.9092;14.9468;14.6115;8.83043;5.08084;1.98713;0.410611;EJ
Reference;USA;oil;18.2174;13.5608;15.0209;23.8024;22.1835;20.5716;17.9482;16.8937;16.4449;15.9763;15.3755;EJ
Reference;USA;natural gas;17.3717;17.5483;20.9848;26.1913;26.1191;25.4174;26.166;27.1348;28.4497;29.7717;31.3073;EJ
Reference;USA;coal;19.5285;22.8838;20.9226;15.3266;12.6208;12.2341;11.6679;10.8969;9.96952;8.4513;6.43333;EJ
Reference;USA;biomass;2.61712;2.88964;2.73357;2.78798;2.84291;3.34643;3.49301;3.65581;4.65525;6.431;8.20226;EJ
Reference;USA;coal;0;0;0;0.222073;0.435321;0.640353;0.824451;0.967586;1.05272;1.0262;0.875242;EJ
Reference;USA;natural gas;0.834733;3.84424;2.33389;0.531904;1.87044;3.50952;4.73474;5.8411;7.22345;9.5539;12.1529;EJ
Reference;USA;oil;15.8203;27.2966;20.8665;11.9125;13.9105;14.9516;15.5084;14.8871;13.6385;12.5898;11.9761;EJ
CO2B;AK;nuclear;0;0;0;0;0;2.56104E-06;3.51841E-05;0.000104697;0.000293735;0.001154644;0.006450461;EJ
CO2B;AK;hydro;0.0033073;0.0053769;0.0052355;0.0057253;0.00571985;0.00495019;0.0066679;0.0066689;0.0066539;0.0065981;0.0066055;EJ
CO2B;AK;wind;0;2.19856E-06;4.55722E-05;0.000581723;0.000497707;0.000432626;0.003230472;0.006153664;0.009642918;0.017434796;0.032553059;EJ
CO2B;AK;solar;0;0;0;0;4.14482E-07;2.34151E-06;0.000256321;0.001766793;0.003284185;0.00655964;0.01226855;EJ
CO2B;AL;nuclear;0.045993;0.1182933;0.1419954;0.157293;0.1570381;0.155425023;0.156693778;0.131029943;0.088725397;0.102645927;0.155263024;EJ
CO2B;AL;hydro;0.0351811;0.0372598;0.0317975;0.0359873;0.0420223;0.0419578;0.0419121;0.0419182;0.0418244;0.0414736;0.0415197;EJ
CO2B;AL;wind;0;0;0;0;0.006350478;0.010940811;0.029251912;0.065925565;0.101748272;0.138989366;0.174422926;EJ
CO2B;AL;solar;0;0;0;0;0.014925373;0.030850313;0.081454741;0.141849782;0.19798615;0.297687611;0.394705607;EJ
CO2B;AR;nuclear;0.0430551;0.0510939;0.0562232;0.0518835;0.0518821;0.051855736;0.056609308;0.044817406;0.030380877;0.049171353;0.073325831;EJ
