scenario;region;sector;subsector;technology;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;basin_id;sector_name;subRegion
CO2B;AK;water_td_an_W;PacArctic;PacArctic;5.36E-04;3.38E-04;3.21E-04;1.67E-04;1.77E-04;1.88E-04;1.97E-04;2.09E-04;2.15E-04;2.27E-04;2.40E-04;km^3;7;Livestock;Pacific_and_Arctic_Coast
CO2B;AK;water_td_elec_W;PacArctic;PacArctic;0.0744283;0.113127;0.100494;0.148046;0.0425829;0.0615653;0.0161465;0.0091696;0.00531803;0.00249829;0.0031271;km^3;7;Electricity;Pacific_and_Arctic_Coast
CO2B;AK;water_td_ind_W;PacArctic;PacArctic;0.154012;0.0112733;0.0107483;0.0115357;0.01116;0.0112946;0.01154;0.0119064;0.01224;0.0124034;0.0157119;km^3;7;Manufacturing;Pacific_and_Arctic_Coast
CO2B;AK;water_td_muni_W;PacArctic;PacArctic;0.136729;0.12413;0.129656;0.152797;0.147051;0.144803;0.147146;0.150361;0.153814;0.156995;0.160065;km^3;7;Municipal;Pacific_and_Arctic_Coast
CO2B;AK;water_td_pri_W;PacArctic;PacArctic;0.409034;0.314062;0.260336;0.232165;0.233003;0.229115;0.207556;0.155841;0.117411;0.0674029;0.0263009;km^3;7;Mining;Pacific_and_Arctic_Coast
CO2B;AL;water_td_an_W;TennR;TennR;0.0147563;0.00806779;0.00865714;0.00856348;0.00908825;0.00965613;0.0101304;0.0107396;0.0110276;0.011635;0.0123109;km^3;230;Livestock;Tennessee_River
CO2B;AL;water_td_an_W;UsaCstSE;UsaCstSE;0.0431775;0.0236066;0.0253311;0.025057;0.0265925;0.0282541;0.0296419;0.0314244;0.0322672;0.0340443;0.036022;km^3;226;Livestock;South_Atlantic_Gulf
CO2B;AL;water_td_elec_W;TennR;TennR;1.58254;2.75343;2.63383;2.24326;1.98745;1.96893;1.4972;0.808664;0.248417;0.0539544;0.0792492;km^3;230;Electricity;Tennessee_River
CO2B;AL;water_td_elec_W;UsaCstSE;UsaCstSE;5.31116;9.2408;8.83939;7.52859;6.67008;6.60791;5.02477;2.71396;0.833713;0.181076;0.265968;km^3;226;Electricity;South_Atlantic_Gulf
CO2B;AL;water_td_ind_W;TennR;TennR;0.247544;0.173801;0.181383;0.155926;0.161528;0.173475;0.182271;0.183694;0.186211;0.188967;0.198396;km^3;230;Manufacturing;Tennessee_River
CO2B;AL;water_td_ind_W;UsaCstSE;UsaCstSE;0.835516;0.586618;0.612207;0.526285;0.545191;0.585517;0.615203;0.620006;0.628502;0.637804;0.669628;km^3;226;Manufacturing;South_Atlantic_Gulf
CO2B;AL;water_td_irr_TennR_W;TennR;TennR;0.0413555;0.0500426;0.0463985;0.0484971;0.0513406;0.0546982;0.0573406;0.0656944;0.0713554;0.0781271;0.0821049;km^3;230;Irrigation;Tennessee_River
CO2B;AL;water_td_irr_UsaCstSE_W;UsaCstSE;UsaCstSE;0.0778128;0.144378;0.146006;0.150854;0.161743;0.173936;0.184488;0.199076;0.209478;0.220042;0.226238;km^3;226;Irrigation;South_Atlantic_Gulf
CO2B;AL;water_td_muni_W;TennR;TennR;0.230115;0.263373;0.272225;0.250038;0.25354;0.260573;0.270068;0.276712;0.284128;0.290504;0.29689;km^3;230;Municipal;Tennessee_River
CO2B;AL;water_td_muni_W;UsaCstSE;UsaCstSE;0.784767;0.898186;0.928375;0.852709;0.864652;0.888638;0.921018;0.943677;0.968966;0.99071;1.01249;km^3;226;Municipal;South_Atlantic_Gulf
CO2B;AL;water_td_pri_W;TennR;TennR;0.00487275;0.0100171;0.00486693;0.00951932;0.00955368;0.00939425;0.0085103;0.00638983;0.00481413;0.00276368;0.0010784;km^3;230;Mining;Tennessee_River
CO2B;AL;water_td_pri_W;UsaCstSE;UsaCstSE;0.016635;0.0341973;0.0166151;0.0324979;0.0326152;0.0320709;0.0290532;0.0218142;0.0164349;0.00943489;0.00368154;km^3;226;Mining;South_Atlantic_Gulf
CO2B;AR;water_td_an_W;ArkWhtRedR;ArkWhtRedR;0.0474009;0.0333646;0.0381133;0.033338;0.0353809;0.0375917;0.0394382;0.0418097;0.042931;0.0452954;0.0479267;km^3;224;Livestock;Arkansas_White_Red
CO2B;AR;water_td_an_W;MissppRS;MissppRS;0.0147917;0.0104116;0.0118935;0.0104033;0.0110408;0.0117307;0.0123069;0.013047;0.0133968;0.0141347;0.0149558;km^3;219;Livestock;Lower_Mississippi_River
CO2B;AR;water_td_elec_W;ArkWhtRedR;ArkWhtRedR;0.190948;0.243707;0.296695;0.236983;0.21733;0.214337;0.130878;0.0614317;0.0462381;0.0623288;0.0904953;km^3;224;Electricity;Arkansas_White_Red
CO2B;AR;water_td_elec_W;MissppRS;MissppRS;0.150672;0.192302;0.234114;0.186996;0.171489;0.169127;0.103272;0.048474;0.0364851;0.0491819;0.0714073;km^3;219;Electricity;Lower_Mississippi_River
CO2B;AR;water_td_ind_W;ArkWhtRedR;ArkWhtRedR;0.136893;0.137642;0.208809;0.121131;0.12373;0.130314;0.136219;0.137764;0.139521;0.141565;0.148333;km^3;224;Manufacturing;Arkansas_White_Red
CO2B;AR;water_td_ind_W;MissppRS;MissppRS;0.10812;0.108712;0.164921;0.0956713;0.0977235;0.102924;0.107588;0.108808;0.110195;0.11181;0.117156;km^3;219;Manufacturing;Lower_Mississippi_River
CO2B;AR;water_td_irr_ArkWhtRedR_W;ArkWhtRedR;ArkWhtRedR;0.842032;1.85339;1.94672;2.11517;2.2429;2.33427;2.38426;2.79113;3.05288;3.44098;3.62151;km^3;224;Irrigation;Arkansas_White_Red
CO2B;AR;water_td_irr_MissppRS_W;MissppRS;MissppRS;9.62077;14.0653;13.3357;14.1215;14.607;14.9782;14.8948;15.4501;15.9711;16.9544;17.3181;km^3;219;Irrigation;Lower_Mississippi_River
CO2B;AR;water_td_muni_W;ArkWhtRedR;ArkWhtRedR;0.278576;0.32729;0.342478;0.291592;0.292624;0.296775;0.304504;0.31067;0.316692;0.321468;0.325817;km^3;224;Municipal;Arkansas_White_Red
CO2B;AR;water_td_muni_W;MissppRS;MissppRS;0.217571;0.255617;0.267479;0.227737;0.228542;0.231784;0.237821;0.242636;0.247339;0.25107;0.254466;km^3;219;Municipal;Lower_Mississippi_River
CO2B;AR;water_td_pri_W;ArkWhtRedR;ArkWhtRedR;0.00139644;0.00107565;0.0246995;0.00223946;0.00224755;0.00221004;0.00200209;0.00150324;0.00113255;6.50E-04;2.54E-04;km^3;224;Mining;Arkansas_White_Red
CO2B;AR;water_td_pri_W;MissppRS;MissppRS;0.0012652;9.75E-04;0.0223782;0.002029;0.00203632;0.00200234;0.00181393;0.00136196;0.00102611;5.89E-04;2.30E-04;km^3;219;Mining;Lower_Mississippi_River
